"","plot","tree","species","dbh","height","height.m","dbh.cm"
"356",64,3,"GF",337,NA,NA,33.7
"357",64,4,"WC",141,140,14,14.1
"358",64,5,"WL",469,NA,NA,46.9
"359",64,6,"WC",157,175,17.5,15.7
"360",64,7,"WC",250,190,19,25
"361",64,8,"DF",592,NA,NA,59.2
"362",64,9,"WC",645,NA,NA,64.5
"363",65,1,"GF",197,165,16.5,19.7
"364",65,2,"GF",895,NA,NA,89.5
"365",65,3,"GF",372,270,27,37.2
"366",65,4,"GF",300,280,28,30
"367",65,5,"GF",343,NA,NA,34.3
"368",65,6,"GF",501,NA,NA,50.1
"369",66,1,"WL",470,300,30,47
"370",66,2,"WC",652,NA,NA,65.2
"371",67,1,"GF",191,145,14.5,19.1
"372",67,2,"WC",722,NA,NA,72.2
"373",67,3,"WC",490,NA,NA,49
"374",67,4,"WC",450,NA,NA,45
"375",67,5,"GF",463,300,30,46.3
"376",67,6,"WL",575,34,3.4,57.5
"377",67,7,"WC",513,NA,NA,51.3
"378",68,1,"GF",780,420,42,78
"379",68,2,"WC",580,335,33.5,58
"380",68,3,"WC",289,205,20.5,28.9
"381",69,1,"WC",496,270,27,49.6
"382",69,2,"WC",528,285,28.5,52.8
"383",69,3,"WC",445,270,27,44.5
"384",69,4,"WC",655,NA,NA,65.5
"385",69,5,"WC",438,NA,NA,43.8
"386",70,1,"WC",158,170,17,15.8
"387",70,2,"GF",357,345,34.5,35.7
"388",70,3,"WC",790,NA,NA,79
"389",70,4,"GF",138,NA,NA,13.8
"390",70,5,"DF",253,275,27.5,25.3
"391",70,6,"WC",305,NA,NA,30.5
"392",71,1,"WC",148,145,14.5,14.8
"393",71,2,"GF",305,235,23.5,30.5
"394",71,3,"WC",122,140,14,12.2
"395",71,4,"GF",741,NA,NA,74.1
"396",72,1,"WC",382,235,23.5,38.2
"397",72,2,"GF",275,235,23.5,27.5
"398",72,3,"GF",146,235,23.5,14.6
"399",72,4,"GF",248,NA,NA,24.8
"400",73,1,"WC",545,265,26.5,54.5
"401",73,2,"WP",221,210,21,22.1
"402",73,3,"WP",197,NA,NA,19.7
"403",73,4,"WL",182,190,19,18.2
"404",74,1,"GF",322,230,23,32.2
"405",74,2,"GF",350,230,23,35
"406",75,1,"DF",502,300,30,50.2
"407",75,2,"WC",108,100,10,10.8
"408",76,1,"WC",144,100,10,14.4
"409",76,2,"WC",226,140,14,22.6
"410",77,1,"WC",405,180,18,40.5
"411",78,1,"WC",437,270,27,43.7
"412",78,2,"GF",644,420,42,64.4
"413",78,3,"WP",1030,480,48,103
"414",78,4,"GF",378,NA,NA,37.8
"415",78,5,"WP",667,NA,NA,66.7
"416",78,6,"WC",648,NA,NA,64.8
"417",79,1,"DF",290,230,23,29
"418",79,2,"DF",525,270,27,52.5
"419",80,1,"GF",248,240,24,24.8
"420",80,2,"GF",256,NA,NA,25.6
"421",80,3,"WC",466,250,25,46.6
"422",80,4,"WC",554,NA,NA,55.4
"423",80,5,"DF",283,215,21.5,28.3
"424",80,6,"WC",400,NA,NA,40
"425",81,1,"WC",153,130,13,15.3
"426",81,2,"GF",588,250,25,58.8
"427",81,3,"WC",595,230,23,59.5
"428",82,1,"GF",656,350,35,65.6
"429",82,2,"GF",105,95,9.5,10.5
"430",82,3,"GF",196,185,18.5,19.6
"431",82,4,"GF",141,NA,NA,14.1
"432",82,5,"WC",580,NA,NA,58
"433",83,1,"GF",441,300,30,44.1
"434",83,2,"GF",245,220,22,24.5
"435",83,3,"GF",248,210,21,24.8
"436",83,4,"GF",298,NA,NA,29.8
"437",83,5,"GF",224,NA,NA,22.4
"438",84,1,"GF",506,320,32,50.6
"439",84,2,"GF",453,300,30,45.3
"440",84,3,"GF",171,120,12,17.1
"441",84,4,"GF",341,NA,NA,34.1
"442",85,1,"WC",690,400,40,69
"443",85,2,"DF",716,350,35,71.6
"444",85,3,"WC",445,NA,NA,44.5
"445",85,4,"WC",264,NA,NA,26.4
"446",85,5,"WC",163,NA,NA,16.3
"447",85,6,"WC",110,NA,NA,11
"448",85,7,"GF",415,280,28,41.5
"449",85,8,"WC",379,NA,NA,37.9
"450",86,1,"WC",455,335,33.5,45.5
"451",86,2,"WC",725,355,35.5,72.5
"452",87,1,"WC",443,205,20.5,44.3
"453",87,2,"GF",155,145,14.5,15.5
"454",87,3,"GF",140,90,9,14
"455",88,1,"WC",473,300,30,47.3
"456",88,2,"WC",433,295,29.5,43.3
"457",88,3,"WL",708,425,42.5,70.8
"458",88,4,"WC",428,NA,NA,42.8
"459",89,1,"GF",798,310,31,79.8
"460",89,2,"GF",220,180,18,22
"461",90,1,"DF",440,320,32,44
"462",90,2,"DF",558,260,26,55.8
"463",90,3,"DF",607,260,26,60.7
"464",90,4,"DF",452,NA,NA,45.2
"465",90,5,"DF",455,NA,NA,45.5
"466",91,1,"GF",121,105,10.5,12.1
"467",91,2,"GF",300,170,17,30
"468",91,3,"DF",476,255,25.5,47.6
"469",92,1,"WC",309,170,17,30.9
"470",92,2,"WC",128,NA,NA,12.8
"471",92,3,"GF",330,290,29,33
"472",92,4,"WC",355,NA,NA,35.5
"473",92,5,"DF",515,295,29.5,51.5
"474",93,1,"WC",508,285,28.5,50.8
"475",94,1,"WC",530,230,23,53
"477",96,1,"DF",430,185,18.5,43
"478",97,1,"GF",460,280,28,46
"479",97,2,"WC",594,333,33.3,59.4
"480",97,3,"GF",338,241,24.1,33.8
"481",97,4,"GF",416,NA,NA,41.6
"482",97,5,"GF",374,NA,NA,37.4
"483",97,6,"GF",491,NA,NA,49.1
"484",97,7,"GF",228,NA,NA,22.8
"485",98,1,"WC",201,161,16.1,20.1
"486",98,2,"WC",209,NA,NA,20.9
"487",98,3,"WC",382,NA,NA,38.2
"488",98,4,"WC",520,NA,NA,52
"489",98,5,"WC",241,NA,NA,24.1
"490",98,6,"DF",262,145,14.5,26.2
"491",98,7,"GF",108,148,14.8,10.8
"492",99,1,"WC",512,270,27,51.2
"493",99,2,"GF",435,264,26.4,43.5
"494",99,3,"WC",371,288,28.8,37.1
"495",99,4,"WC",346,NA,NA,34.6
"496",99,5,"WC",616,NA,NA,61.6
"497",100,1,"GF",421,324,32.4,42.1
"498",100,2,"DF",785,370,37,78.5
"499",100,3,"WC",101,90,9,10.1
"500",100,4,"WC",101,NA,NA,10.1
"501",100,5,"GF",628,NA,NA,62.8
"502",100,6,"GF",351,NA,NA,35.1
"503",100,7,"DF",789,NA,NA,78.9
"504",100,8,"DF",887,NA,NA,88.7
"505",101,1,"DF",494,236,23.6,49.4
"506",101,2,"GF",607,300,30,60.7
"507",101,3,"DF",463,300,30,46.3
"508",102,4,"DF",551,180,18,55.1
"509",103,1,"WC",654,355,35.5,65.4
"510",103,2,"GF",239,232,23.2,23.9
"511",104,1,"WC",284,193,19.3,28.4
"512",104,2,"WC",383,NA,NA,38.3
"513",104,3,"WC",279,NA,NA,27.9
"514",104,4,"DF",197,110,11,19.7
"515",105,1,"WC",282,205,20.5,28.2
"516",105,2,"WC",222,187,18.7,22.2
"517",105,3,"WC",119,115,11.5,11.9
"518",105,4,"WC",319,NA,NA,31.9
"519",106,1,"GF",245,238,23.8,24.5
"520",106,2,"GF",314,270,27,31.4
"521",106,3,"WC",120,128,12.8,12
"522",107,1,"WC",159,125,12.5,15.9
"523",107,2,"WC",270,170,17,27
"524",107,3,"WC",277,205,20.5,27.7
"525",108,1,"DF",438,179,17.9,43.8
"526",108,2,"GF",397,195,19.5,39.7
"527",109,1,"GF",475,270,27,47.5
"528",109,2,"GF",498,245,24.5,49.8
"529",110,1,"WC",545,NA,NA,54.5
"530",110,2,"WC",423,305,30.5,42.3
"531",110,3,"WC",488,245,24.5,48.8
"532",110,4,"GF",812,470,47,81.2
"533",111,1,"WC",450,280,28,45
"534",111,2,"GF",565,300,30,56.5
"535",111,3,"WC",530,235,23.5,53
"536",111,4,"GF",446,NA,NA,44.6
"537",112,1,"GF",522,350,35,52.2
"538",112,2,"GF",206,NA,NA,20.6
"539",112,3,"GF",215,NA,NA,21.5
"540",112,4,"DF",343,255,25.5,34.3
"541",112,5,"GF",694,NA,NA,69.4
"542",112,6,"WC",341,245,24.5,34.1
"543",113,1,"DF",239,210,21,23.9
"544",113,2,"SF",109,90,9,10.9
"545",113,3,"GF",181,NA,NA,18.1
"546",113,4,"DF",413,260,26,41.3
"547",114,1,"WL",197,180,18,19.7
"548",114,2,"DF",150,165,16.5,15
"549",114,3,"DF",432,240,24,43.2
"550",114,4,"DF",152,NA,NA,15.2
"552",116,1,"WL",268,220,22,26.8
"554",118,1,"WL",286,295,29.5,28.6
"555",118,2,"WL",302,295,29.5,30.2
"556",119,1,"WC",157,NA,NA,15.7
"557",119,2,"WC",314,280,28,31.4
"558",119,3,"WC",266,190,19,26.6
"559",120,1,"WC",341,250,25,34.1
"560",121,1,"GF",330,170,17,33
"561",121,2,"DF",317,NA,NA,31.7
"562",121,3,"DF",267,150,15,26.7
"563",121,4,"GF",234,200,20,23.4
"564",122,1,"GF",312,190,19,31.2
"565",122,2,"GF",352,245,24.5,35.2
"566",122,3,"GF",257,180,18,25.7
"567",122,4,"GF",163,90,9,16.3
"568",122,5,"GF",370,NA,NA,37
"569",123,1,"GF",401,195,19.5,40.1
"570",123,2,"WC",176,165,16.5,17.6
"571",124,1,"GF",425,280,28,42.5
"572",124,2,"GF",314,230,23,31.4
"573",124,3,"DF",271,210,21,27.1
"574",125,1,"DF",400,210,21,40
"575",125,2,"GF",600,NA,NA,60
"576",125,3,"DF",513,310,31,51.3
"577",126,1,"GF",284,230,23,28.4
"578",126,2,"GF",393,250,25,39.3
"579",126,3,"WC",337,170,17,33.7
"581",128,1,"WC",213,155,15.5,21.3
"582",128,2,"WC",448,NA,NA,44.8
"583",128,3,"WC",288,NA,NA,28.8
"584",128,4,"DF",201,160,16,20.1
"585",128,5,"DF",183,NA,NA,18.3
"586",128,6,"GF",134,NA,NA,13.4
"587",128,7,"PP",371,260,26,37.1
"588",129,1,"GF",454,250,25,45.4
"589",129,2,"WC",297,200,20,29.7
"591",131,1,"WC",228,120,12,22.8
"592",131,2,"GF",292,230,23,29.2
"593",131,3,"GF",383,240,24,38.3
"594",132,1,"WC",174,120,12,17.4
"595",132,2,"GF",239,175,17.5,23.9
"598",135,1,"GF",189,160,16,18.9
"599",135,2,"GF",205,130,13,20.5
"600",135,3,"GF",210,185,18.5,21
"601",135,4,"GF",194,NA,NA,19.4
"602",136,1,"WC",555,275,27.5,55.5
"603",136,2,"GF",164,130,13,16.4
"604",136,3,"DF",565,370,37,56.5
"605",136,4,"GF",177,NA,NA,17.7
"606",137,1,"WC",373,205,20.5,37.3
"607",137,2,"WC",453,NA,NA,45.3
"608",138,1,"WC",207,140,14,20.7
"609",139,1,"WC",446,285,28.5,44.6
"610",139,2,"GF",491,NA,NA,49.1
"611",139,3,"WC",367,250,25,36.7
"612",139,4,"WC",183,NA,NA,18.3
"613",139,5,"WC",351,NA,NA,35.1
"614",139,6,"WC",172,NA,NA,17.2
"615",139,7,"GF",445,270,27,44.5
"617",141,1,"DF",316,205,20.5,31.6
"618",142,1,"DF",283,240,24,28.3
"619",142,2,"PP",322,NA,NA,32.2
"620",142,3,"DF",522,275,27.5,52.2
"621",142,4,"DF",225,205,20.5,22.5
"622",143,1,"GF",280,210,21,28
"623",143,2,"GF",330,205,20.5,33
"624",143,3,"GF",425,NA,NA,42.5
"625",143,4,"GF",320,NA,NA,32
"626",143,5,"GF",400,NA,NA,40
"627",143,6,"GF",250,NA,NA,25
"628",143,7,"WC",478,205,20.5,47.8
"629",144,1,"GF",102,160,16,10.2
"630",144,2,"DF",315,220,22,31.5
"631",144,3,"GF",275,NA,NA,27.5
"632",144,4,"WL",265,250,25,26.5
"633",144,5,"GF",100,NA,NA,10
"634",144,6,"DF",260,NA,NA,26
"635",144,7,"DF",170,NA,NA,17
"636",144,8,"DF",287,NA,NA,28.7
"637",144,9,"GF",205,NA,NA,20.5
